taskspecveldid	cVeldnaam	cVolgorde	cGridVolgorde	bIdentity	fid_Task	fid_LabelParent	fid_LabelChild	fid_FillLabelField	fid_SpecLabelField	fid_Calculation	bShowPopupWithFillField	fid1_ListCombinedLabel	fid2_ListCombinedLabel	fid3_ListCombinedLabel	bAutoComplete	bFullTextComplete	bListExcludeUnconnected	bRequired	bEditable	bEditableOnParamValue	cEditableOnValue	bViewableParentView	cViewableParentInTab	bViewable	bGridViewable	bShowOnUpdate	bFullTextIndex	bInGrid	bInDetails	ListSQL	bUseParameterIn	bUseParameterOut	bFillNewWithParam	bDeepSearch	cDefaultValue	cFieldFilter	iOrderAsc	iOrderDesc	bDisabled	bNullable	iFieldLength	iMaxLengthList	cFieldType	bFieldInDataObject	cCreateLabel	bUpdated	cValueOnSelect	cRequiredCondition	cEditCondition	cRegex	cRegexExpl	cUploadDestination	bDevider	cDevider	bAddValuesInDDL	bCopy	bGridEditable	cGridInsertColumn	cHelptext	iCharPerLine	bListUniqueValues	iHeaderWidth	iTextboxWidth	cShowInColumn	cGridCalVolgorde	bMultiAutocomplete	iMaxLines	bAddTextToAutoComplete	cFieldForeColor	cFieldBackColor	bOverWriteWithDefault	fid_CopyTask	iDecimalDigits	bTotalInGrid	fid_ShowWithLabel	cShowDetailColumn	fid_FillEmptyLabelId	fid_LabelShowAsTable	cClearAfterSelection	bAddToGrid	bShowInUpdate	bMailOnUpdate	bDefaultFocus	bShowAsListBox	iListBoxHeight	bImmidiateUpdate	bAlwaysInUpdate	bCheckValueExists	bCreatePostback	cCreatePostback	cResetForRefresh	cExtraFilterType	bActivateTaskAfterUpdate	bActivateTaskAfterInsert	cisd_FieldId	cColorCondition	cHideOnLabelValue	bSelectAll	cExecOnPostBack	cShowPostbackOnColumn	bListMultiSelect	iLinkToTask	cCompareValidator
5447	iShipment_id	000	NULL	1	76	NULL	1156	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	1	1	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	1	0	0	4	NULL	int                      	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	1		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5448	fid_ShipmentType	007	NULL	NULL	76	NULL	1077	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	NULL	NULL	1	NULL	1	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	0	1	4	NULL	int                      	1		0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5449	cCompanyShortName	002	NULL	NULL	76	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	3	NULL	varchar                  	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	001	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5450	fid_CreatedByUser	008	NULL	NULL	76	NULL	628	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	4	NULL	int                      	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	006	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5451	dRecordCreated	010	NULL	NULL	76	NULL	626	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	NULL	1	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	8	NULL	datetime                 	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	008	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	cCreatedByUser	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5452	cBnumber	001	001	NULL	76	NULL	116	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	NULL	1	1	NULL	NULL	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	8	NULL	varchar                  	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Customer Details(l)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	001	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5453	cExportNumber	070	NULL	NULL	76	NULL	606	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	20	NULL	varchar                  	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	091	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5454	cCustomerReference	047	003	NULL	76	NULL	476	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	NULL	NULL	1	NULL	1	1	NULL	NULL	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	50	NULL	varchar                  	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20	NULL	20	NULL	NULL	003	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5455	fid_fileid	107	NULL	NULL	76	NULL	611	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	4	NULL	int                      	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	092	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5456	cShipmentnr	108	NULL	NULL	76	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	9	NULL	varchar                  	1	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	093	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
