fieldLabel_id	cFieldLabel	cFieldObject	cFieldName	cFieldParameter	cFieldLinkedSql	cFieldLinkedObject	cAlternateObjectSearch	UpdateFields	cOnMouseOver	bSearchFromFirstCharacter	bOverWriteName	iAutocompleteWidth	cFunctionForValue	bClearTabFilter	bMultipleSelection	cis_labelId	cis_labelname	cExtraInfoSqlObject	cUpdateLabelAfterSelect
19	SearchWarehouse	NULL	NULL		NULL	tblBase_Warehouse	NULL	1		0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
21	WhsUnloadDate	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
22	WhsUnloadColli	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
23	WhsUnloadWeight	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
24	WhsUnloadCbm	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
25	WhsUnloadBLRemarks	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
116	Bl Number	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
140	Remarks	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
474	DisbursementAmount	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
475	DisbursementCurrency	NULL	NULL	NULL	NULL	tblbase_fincurrency	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
476	Customer Reference	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
