linkfield_id	fid_label	cFieldName	cComputedField	cFieldFilter	cVolgorde	bInList	iOrderAsc	iOrderDesc	cFieldType	iFieldLength	fid_LinkedLabel	bUseAsPanelVisibility	iListFieldWidth	cListColHeader	fid_ListLabel	cisd_listfieldid	fid_ListLinkedLabel
1615	475	iCurrId	NULL	NULL	000	1	NULL	NULL	int	4	0	NULL	NULL	NULL	NULL	NULL	NULL
1616	475	cCurr	NULL	NULL	001	1	NULL	NULL	varchar	3	0	NULL	NULL	NULL	NULL	NULL	NULL
1617	475	cCurrNameNL	NULL	NULL	002	NULL	NULL	NULL	varchar	25	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1618	475	cCurrNameEN	NULL	NULL	003	NULL	NULL	NULL	varchar	25	0	NULL	NULL	NULL	NULL	NULL	NULL
1619	475	fCurrRevalution	NULL	NULL	004	NULL	NULL	NULL	float	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1620	475	fCurrForwarding	NULL	NULL	005	NULL	NULL	NULL	float	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1621	475	fCurrMinimum	NULL	NULL	006	NULL	NULL	NULL	float	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1622	475	fCurrMaximum	NULL	NULL	007	NULL	NULL	NULL	float	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1623	475	bCurrEuro	NULL	NULL	008	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1624	475	fCurrRecommended	NULL	NULL	009	NULL	NULL	NULL	float	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1625	475	fCurrEuro	NULL	NULL	010	NULL	NULL	NULL	float	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1626	475	bOpenForFile	NULL	NULL	011	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1627	475	bOpenForInvoice	NULL	NULL	012	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1628	475	bOpenForPurchase	NULL	NULL	013	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
